Testtaker ID,Country,Region,Gender,Age,Year,Highest Level of Education,School/University,First-generation university,Employment Status,Role Applied,Department / Interest,Past Test Taker,Prepared with Online Materials,Desired Office,Ecosystem %,Time Spent on Ecosystem,Redrock %,Time Spent on Redrock,Seawolf %,Time Spent on Seawolf,Total Product Score,Process Score,Resume Score,Total Assessment Score,Status
MCK0001,Turkey,Europe,Non-Binary,24,2024,Masters,Bilkent University  ,No,Employed,Junior Associate,Consulting,Yes,Yes,Sri Lanka,67,16,34,20,56,17,52.33,65,76,64.44,Fail
MCK0002,Hungary,Europe,Female,27,2021,Masters,Eötvös Loránd University  ,No,Unemployed,Finance Analyst,Finance,No,No,Nigeria,71,32,63,33,69,32,67.67,69,87,74.56,Fail
MCK0003,Finland,Europe,Male,25,2018,Undergraduate,University of Helsinki  ,Yes,Unemployed,Data Analyst,Analytics,Yes,Yes,New Zealand,66,15,74,21,68,17,69.33,100,69,79.44,Pass
MCK0004,Finland,Europe,Non-Binary,20,2020,Undergraduate,Aalto University  ,No,Student,Director of Public Affairs - US Federal,Communications,No,Yes,Uruguay,78,15,52,29,93,28,74.33,97,81,84.11,Pass
MCK0005,Chile,Central and South America,Non-Binary,25,2021,Undergraduate,Universidad de Chile  ,No,Self Employed,Data Engineer,Analytics,Yes,Yes,Switzerland,69,19,61,20,86,17,72,79,85,78.67,Pass
MCK0006,Sweden,Europe,Female,26,2021,Masters,Lund University  ,No,Student,Consultant,Consulting,Yes,No,Qatar,79,20,64,30,40,26,61,61,93,71.67,Fail
MCK0007,Germany,Europe,Female,27,2024,Masters,Ludwig-Maximilians-Universität München  ,No,Unemployed,Data Engineer,Analytics,Yes,Yes,Singapore,85,17,61,25,78,20,74.67,70,91,78.56,Pass
MCK0008,Panama,Central and South America,Non-Binary,34,2024,Ph.D.,University of Panama  ,Yes,Self Employed,Director of Public Affairs - US Federal,Communications,No,Yes,Brazil,78,22,52,23,83,23,71,87,86,81.33,Pass
MCK0009,Norway,Europe,Male,19,2022,Undergraduate,University of Oslo  ,No,Student,Senior Service Designer,Visual Graphics & Media,No,No,Thailand,78,34,41,35,90,33,69.67,93,93,85.22,Pass
MCK0010,Bahrain,Middle East,Non-Binary,31,2022,Post-Ph.D.,University of Bahrain  ,No,Student,Finance Analyst,Finance,Yes,No,Germany,54,28,74,21,92,22,73.33,79,77,76.44,Pass
MCK0011,South Africa,Africa,Non-Binary,30,2021,Post-Ph.D.,University of Cape Town  ,Yes,Student,Director of Public Affairs - US Federal,Communications,Yes,No,Bahrain,58,28,58,29,67,17,61,68,73,67.33,Fail
MCK0012,Pakistan,Middle East,Female,27,2018,MBA,Quaid-i-Azam University  ,Yes,Unemployed,Accountant,Finance,Yes,No,Costa Rica,72,18,87,28,54,26,71,71,61,67.67,Fail
MCK0013,Angola,Africa,Non-Binary,19,2023,Undergraduate,Agostinho Neto University  ,Yes,Unemployed,Communications Specialist - Sustainability,Communications,Yes,No,Costa Rica,70,17,83,24,65,15,72.67,97,95,88.22,Pass
MCK0014,Vietnam,Asia Pacific,Male,18,2020,Undergraduate,University of Danang  ,Yes,Student,Business Presentation Designer,Visual Graphics & Media,No,Yes,Morocco,61,18,64,20,82,26,69,98,61,76,Pass
MCK0015,Panama,Central and South America,Male,31,2025,MBA,Technological University of Panama  ,No,Self Employed,Senior Service Designer,Visual Graphics & Media,Yes,Yes,Kazakhstan,69,20,68,19,49,18,62,84,81,75.67,Pass
MCK0016,Costa Rica,Central and South America,Male,27,2021,Ph.D.,Universidad de Costa Rica  ,No,Unemployed,Business Presentation Designer,Visual Graphics & Media,Yes,No,Greater China,55,25,53,24,79,30,62.33,79,87,76.11,Pass
MCK0017,Malaysia,Asia Pacific,Male,22,2025,Masters,University of Malaya  ,Yes,Unemployed,Data Analyst,Analytics,Yes,Yes,Peru,86,15,42,18,81,19,69.67,75,93,79.22,Pass
MCK0018,Egypt,Middle East,Non-Binary,26,2022,Ph.D.,Cairo University  ,Yes,Unemployed,Accountant,Finance,Yes,No,Egypt,77,15,47,25,50,21,58,71,76,68.33,Fail
MCK0019,Greater China,Asia Pacific,Non-Binary,23,2020,Undergraduate,Peking University  ,No,Self Employed,Finance Analyst,Finance,Yes,Yes,Sri Lanka,78,15,79,21,71,15,76,66,87,76.33,Pass
MCK0020,United Kingdom,Europe,Non-Binary,26,2020,Masters,University of Edinburgh  ,Yes,Unemployed,Data Engineer,Analytics,Yes,Yes,India,61,18,32,25,93,19,62,67,67,65.33,Fail
MCK0021,Sweden,Europe,Female,35,2024,Law,Karolinska Institute  ,Yes,Student,Finance Analyst,Finance,Yes,No,Brazil,91,27,65,24,92,20,82.67,87,88,85.89,Pass
MCK0022,Ecuador,Central and South America,Male,18,2022,Undergraduate,Universidad de Cuenca  ,Yes,Self Employed,Consultant,Consulting,Yes,Yes,Croatia,78,20,52,18,78,17,69.33,72,64,68.44,Fail
MCK0023,United Arab Emirates,Middle East,Female,24,2023,MBA,Abu Dhabi University,Yes,Self Employed,Office Services Administrator,Global Administration,Yes,No,Qatar,63,25,45,22,82,24,63.33,86,91,80.11,Pass
MCK0024,Turkey,Europe,Male,25,2022,Undergraduate,Koç University  ,No,Self Employed,Business Presentation Designer,Visual Graphics & Media,Yes,Yes,Ecuador,88,15,41,25,51,18,60,77,78,71.67,Fail
MCK0025,Nigeria,Africa,Female,26,2023,Ph.D.,Nigerian Turkish Nile University  ,Yes,Student,Data Analyst,Analytics,No,Yes,Ukraine,68,29,49,22,77,19,64.67,95,71,76.89,Pass
MCK0026,Kenya,Africa,Male,32,2021,Medical Doctor,University of Nairobi  ,Yes,Student,Executive Assistant,Global Administration,Yes,Yes,Azerbaijan,76,16,77,22,75,15,76,87,72,78.33,Pass
MCK0027,Netherlands,Europe,Non-Binary,16,2023,High School,Delft University of Technology  ,Yes,Unemployed,Executive Assistant,Global Administration,No,No,Azerbaijan,65,30,32,35,73,33,56.67,100,77,77.89,Pass
MCK0028,Bahrain,Middle East,Male,31,2018,MBA,Arabian Gulf University  ,No,Employed,Business Presentation Designer,Visual Graphics & Media,No,No,Saudi Arabia,49,34,50,34,59,31,52.67,100,65,72.56,Fail
MCK0029,Sri Lanka,Asia Pacific,Female,31,2018,Law,University of Colombo  ,No,Employed,Senior Service Designer,Visual Graphics & Media,Yes,Yes,Australia,67,15,40,19,59,17,55.33,81,86,74.11,Fail
MCK0030,Pakistan,Middle East,Non-Binary,29,2024,Masters,Lahore University of Management Sciences  ,Yes,Employed,Finance Analyst,Finance,No,Yes,Japan,92,30,77,16,93,19,87.33,66,88,80.44,Pass
MCK0031,Spain,Europe,Female,29,2025,Masters,University of Barcelona  ,Yes,Unemployed,Accountant,Finance,Yes,No,Ireland,75,22,64,24,87,29,75.33,92,70,79.11,Pass
MCK0032,Switzerland,Europe,Female,29,2021,MBA,ETH Zurich (Swiss Federal Institute of Technology)  ,Yes,Student,Business Presentation Designer,Visual Graphics & Media,Yes,No,Canada,53,30,72,23,90,26,71.67,92,91,84.89,Pass
MCK0033,Vietnam,Asia Pacific,Female,32,2021,Ph.D.,Hue University  ,Yes,Employed,Consultant,Consulting,Yes,Yes,Peru,62,15,81,21,100,19,81,92,85,86,Pass
MCK0034,Spain,Europe,Male,32,2022,MBA,Autonomous University of Barcelona  ,No,Employed,Business Presentation Designer,Visual Graphics & Media,No,Yes,Ukraine,87,22,69,22,53,25,69.67,85,82,78.89,Pass
MCK0035,Pakistan,Asia Pacific,Non-Binary,19,2024,Undergraduate,National University of Sciences and Technology  ,No,Self Employed,Accountant,Finance,No,Yes,Greece,91,22,45,22,76,24,70.67,60,84,71.56,Fail
MCK0036,Sri Lanka,Asia Pacific,Male,30,2024,Medical Doctor,University of Peradeniya  ,Yes,Unemployed,Executive Assistant,Global Administration,Yes,No,Philippines,82,17,11,25,76,27,56.33,72,76,68.11,Fail
MCK0037,Hungary,Europe,Male,33,2021,Post-Ph.D.,University of Szeged  ,No,Unemployed,Business Presentation Designer,Visual Graphics & Media,Yes,Yes,Brazil,100,17,29,25,69,15,66,78,77,73.67,Fail
MCK0038,Austria,Europe,Female,23,2022,Masters,University of Vienna  ,Yes,Employed,Executive Assistant,Global Administration,Yes,Yes,Kazakhstan,46,18,47,23,41,17,44.67,96,76,72.22,Fail
MCK0039,Czech Republic,Europe,Non-Binary,26,2020,Masters,Univerzita Karlova  ,Yes,Employed,Finance Analyst,Finance,No,Yes,Qatar,77,18,72,26,76,17,75,70,99,81.33,Pass
MCK0040,Malaysia,Asia Pacific,Male,33,2022,Post-Ph.D.,Universiti Kebangsaan Malaysia  ,No,Unemployed,Office Services Administrator,Global Administration,No,Yes,Qatar,61,29,51,20,74,23,62,88,73,74.33,Fail
MCK0041,Germany,Europe,Male,32,2025,MBA,Ruprecht-Karls-Universität Heidelberg  ,Yes,Employed,Accountant,Finance,Yes,No,France,62,18,40,24,66,26,56,64,93,71,Fail
MCK0042,Dominican Republic,Central and South America,Female,24,2021,Masters,Universidad Autónoma de Santo Domingo  ,Yes,Employed,Data Analyst,Analytics,No,No,Chile,61,30,66,33,89,35,72,92,65,76.33,Pass
MCK0043,Philippines,Asia Pacific,Female,26,2021,Masters,University of the Philippines Diliman  ,No,Self Employed,Finance Analyst,Finance,Yes,Yes,Greater China,100,17,65,24,80,15,81.67,87,86,84.89,Pass
MCK0044,Netherlands,Europe,Male,30,2024,MBA,University of Amsterdam  ,Yes,Self Employed,Executive Assistant,Global Administration,Yes,Yes,United Arab Emirates,66,18,52,18,89,18,69,81,60,70,Fail
